"Advertiser Name","Advertiser URL","MID","Advertiser Description","Link to T&C","Link to Program History","Link to Home Page","Status","Contact Name","Contact Title","State","City","Address","Zip","Country","Phone","Email Address","Commission Terms","Offer","Offer Type","Year Joined","Expiration Date","Return Days","Transaction Update Window","TrueLock","Premium Status","Baseline Commission Terms","Baseline Offer","Baseline Offer Type","Baseline Expiration Date","Baseline Return Days","Baseline Transaction Update Window","Baseline TrueLock"
"HeatAndCool.com","http://www.heatandcool.com/","37216","HeatAndCool.com is America?s first and largest online home comfort super store. Heat And Cool sell's air conditioning and heating systems for home or commercial use at discounted wholesale prices.
Every order earns 6% commission with high AOV!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37216_20111109_170309.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37216&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=244576&type=3&subid=0","Active","Daniel Bryant","Affiliate Manager","Texas","Austin","327 Congress Suite 300","78701","US","8643807303","daniel@schaafpc.com","private |6.00% commission on all goods","6.2","% of Sale","2013"," 19-JAN-16","30","90","N","N/A","6.00% commission on all goods","5.2","% of Sale"," 01-JAN-16","30","90","N",
"Hurley","http://www.hurley.com/","38369","Be a part of Hurley, the most innovative surf brand in the industry.
 
Hurley has a culture all its own ? it's loud; it's music, it's art. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38369&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=289800&type=3&subid=0","Active","Affiliate Manager","Affiliate Manager","California","Santa Cruz","2125 Delaware Avenue Suite E","95060","US","831-464-1441","hurley@affiliatetraction.com","7.00% commission on all goods","3.1","% of Sale","2013"," 30-APR-15","30","90","N","N/A","7.00% commission on all goods","3.1","% of Sale"," 30-APR-15","30","90","N",
"Intercall Corporation","http://www.intercall.com","39588","InterCall offers reliable and easy to use communication solutions to build stronger relationships with colleagues, partners and customers and to assist in achieving business objectives.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39588_20140828_230650.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39588&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=348722&type=3&subid=0","Active","Amanda Thambounaris","Account Manager","New York","Brooklyn","20 Jay St Suite 305","11201","US","646-761-6092","intercall@bluecherrygroup.com","private |$1.00 flat fee on selected goods; [private |$10.00 flat fee on selected goods,; private |$15.00 flat fee on selected goods,; private |$25.00 flat fee on selected goods,; private |$30.00 flat fee on selected goods,; private |$35.00 flat fee on selected goods,; private |$40.00 flat fee on selected goods,; private |$50.00 flat fee on selected goods,; private |$65.00 flat fee on selected goods,; private |$75.00 flat fee on selected goods,; private |$90.00 flat fee on selected goods,; private |$100.00 flat fee on selected goods]; ","17.1","Flat Fee","2015"," 04-SEP-19","45","90","N","N/A","$1.00 flat fee on selected goods; [$10.00 flat fee on selected goods,; $15.00 flat fee on selected goods,; $25.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $35.00 flat fee on selected goods,; $40.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $65.00 flat fee on selected goods,; $75.00 flat fee on selected goods,; $90.00 flat fee on selected goods,; $100.00 flat fee on selected goods]; ","5.3","Flat Fee"," 31-DEC-19","45","90","N",
"Jam Paper & Envelope","http://www.jampaper.com/","38247","JAM Paper & Envelope has been around for over 55 years. We offer a wide range of color envelopes, plastic envelopes, colorful paper, folders, gift bags, portfolios and gift boxes to help businesses and individuals look professional, creative, and smart.
","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38247_349229.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38247&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=349229&type=3&subid=0","Active","Cristina Amati","Affiliate Marketing","New Jersey","Northvale","185 Legrand Avenue ","07647","US","2015676666","cristina@jampaper.com","private |7.00% commission on all goods","12.1","% of Sale","2013"," 14-APR-15","5","90","N","N/A","7.00% commission on all goods","11.1","% of Sale"," 15-APR-15","5","90","N",
"JuiceBeauty.com","http://www.juicebeauty.com/","38268","Juice Beauty?s mission is to lead the industry with high efficacy and authentically organic beauty products while inspiring the ultimate customer experience.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38268_20130417_173054.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38268&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=307738&type=3&subid=0","Active","JuiceBeauty Affiliate Team","Affiliate Marketing Manager","California","San Rafael","709 5th Ave ","94901","US","4154574600","Affiliates@JuiceBeauty.com","private |10.00% commission on all goods","15.1","% of Sale","2013"," 15-APR-15","365","90","N","N/A","8.00%-10.00% commission on all goods","3.2","% of Sale"," 03-JUN-15","30","90","N",
"June Jacobs Spa Collection","junejacobs.com","38875","June Jacobs Spa Collection Marries Cutting-Edge Science with Nature® to offer a paraben and preservative free complete skincare line.  The ingredients are derived from highly effective botanical and plant extracts to deliver efficacious results.  ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38875_20130930_183732.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38875&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=309239&type=3&subid=0","Active","Vanessa Gonzalez","Ecommerce Development","New York","New York","460 Park Avenue 16th Floor","10022","US","212-471-4830","vgonzalez@junejacobs.com","6.00% commission on all goods","4.1","% of Sale","2014"," 17-SEP-15","15","90","N","N/A","6.00% commission on all goods","4.1","% of Sale"," 17-SEP-15","15","90","N",
"Kohls Department Stores Inc","www.kohls.com","38605","Expect great things. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38605_328293_12.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38605&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=328293&type=3&subid=0","Active","Rachel Ziemer","Affiliate Marketing Analyst","Wisconsin","Menomonee Falls","N56 W17000 Ridgewood Drive ","53051","US","262-703-6726","ls-kohls@linkshare.com","4.00% commission on all goods; [0.00% commission on selected goods]; ","70.12","% of Sale","2013"," 22-MAR-20","10","90","N","N/A","4.00% commission on all goods; [0.00% commission on selected goods]; ","70.12","% of Sale"," 22-MAR-20","10","90","N",
"Lane Bryant","http://www.lanebryant.com/","38549","Lane Bryant provides women in 51 countries with the hottest, plus-size apparel, accessories and Cacique intimates.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38549_20130708_202502.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38549&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=297352&type=3&subid=0","Active","Kippie.Friedkin","On-Line Marketing Manager","Pennsylvania","Bensalem","3750 State Rd. ","19020","US","215-638-6854","Ls-lanebryant@linkshare.com","5.00% commission on all goods","3.1","% of Sale","2014"," 18-JAN-16","14","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 18-JAN-16","14","90","N",
"LaptopBatteryExpress.com","http://www.LaptopBatteryExpress.com","37395","Replacement laptop batteries for over 10,000 laptop models including Dell, Sony, HP, Gateway, Toshiba, and many more. Higher than average conversion rates. $100 average order value. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37395&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=250852&type=3&subid=0","Active","Steve DiPietro","Managing Partner","New Jersey","Marlton","525 Route 73 North Suite 104","08053","US","888.331.0009","affiliates@laptopbatteryexpress.com","10.00%-15.00% commission on all goods","4.1","% of Sale","2013"," 29-MAY-15","45","90","N","N/A","10.00%-15.00% commission on all goods","4.1","% of Sale"," 29-MAY-15","45","90","N",
"Liquidation Channel","http://www.liquidationchannel.com","24969","Liquidation Channel offers a wide variety of jewelry, accessories, home decor and gemstones at the lowest prices, guaranteed.  

Exceptional Quality. Exquisite Design.  Outstanding Value.
www.liquidationchannel.com","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=24969&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=306203&type=3&subid=0","Active","Shannon Grounds","Affiliate Marketing Program Manager","Texas","Austin","100 michael angelo way Bldg D Ste 400","78728","US","512-852-7066","affiliates@liquidationchannel.com","private |8.00%-20.00% commission on all goods","12.1","% of Sale","2013"," 01-APR-16","10","90","N","N/A","8.00% commission on all goods","3.2","% of Sale"," 23-DEC-15","30","90","N",
"Luxe Designer Handbag","http://www.luxedesignerhandbags.com/","38463","LuxeDH offers Authentic Pre Owned Handbags at prices up to 60% off retail with the option of payment plans.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38463_20130611_133459.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38463&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=349287&type=3&subid=0","Active","Jaime Schuster","Director of IT","Florida","Hallandale","1250 E Hallandale Beach Blvd Suite 605","33009","US","9543629499","js@luxedh.com","10.00% commission on all goods","6.1","% of Sale","2013"," 10-SEP-15","30","90","N","N/A","10.00% commission on all goods","6.1","% of Sale"," 10-SEP-15","30","90","N",
"MN Party Store","http://www.mnpartystore.com","35639","MNPartyStore.com offers the largest selection of party goods, costumes, disposable foodwares, favors, toys and catering supplies you'll find anywhere online - over 13,000 items to choose from.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35639&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=372156&type=3&subid=0","Active","Ryan Guldberg","Ecommerce Director","Minnesota","White Bear Lake","4875 White Bear Pkwy ","55110","US","6513617417","affiliates@mnpartystore.com","private |7.00%-15.00% commission on all goods","28.1","% of Sale","2013"," 09-APR-15","10","90","N","N/A","private |7.00% commission on all goods","27.1","% of Sale"," 31-DEC-16","10","90","N",
"Mabelle","http://www.mabelle.com/hk/eng/products","38993","MaBelle is the market leader in fashion diamond jewellery retail business in Hong Kong. Free International Delivery on all orders!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38993&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=312987&type=3&subid=0","Active","Yana Robbins","Affiliate Manager","N","Hong Kong","52 Bonham Rd ","000000","HK","+852.6011.7165","yana@9amconsulting.com","5.00% commission on all goods","3.1","% of Sale","2014"," 01-JAN-16","45","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 01-JAN-16","45","90","N",
"Mac of all Trades","http://www.macofalltrades.com/","39536","We provide used and refurbished Mac/Apple buyers unbeatable pricing, secure online ordering, and impeccable customer service.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39536_20140603_191405.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39536&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=360517&type=3&subid=0","Active","Jackie McClelland","Online Marketing Strategist","Michigan","Rochester","360 South Street ","48307","US","877-837-4792","jackie.mcclelland@brandlabs.us","4.00% commission on all goods","5.1","% of Sale","2014"," 03-MAY-15","30","90","N","N/A","3.00% commission on all goods","3.1","% of Sale"," 09-DEC-19","20","90","N",
"Manfrotto","http://www.manfrotto.us/","38476","Manfrotto: Professional Camera & Lighting Support Equipment! Imagine More! www.Manfrotto.us","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38476&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=293091&type=3&subid=0","Active","Kent Heltne","VP Sales","Arizona","Scottsdale","13118 N. 145th Way ","85259","US","4806597874","kenth@eaccountable.com","private |6.00% commission on all goods","3.1","% of Sale","2013"," 31-DEC-18","10","90","N","N/A","6.00% commission on all goods","2.1","% of Sale"," 31-DEC-18","10","90","N",
"Manhattanite","http://www.shopmanhattanite.com","25065","ShopManhattanite.com is the premier online destination for fashionistas and trendsetters! Manhattanite is one-stop-shopping for the hottest designer brands in women's fashion, accessories and jewelry.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=25065&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=323054&type=3&subid=0","Active","Schaaf-PartnerCentric Management Team","Schaaf-PartnerCentric Management Team","Texas","Austin","327 Congress Suite 300","78701","US","1-888-854-7770","kstonebraker@schaafpc.com","private |9.00%-10.00% commission on all goods","17.1","% of Sale","2013"," 10-FEB-18","45","90","N","N/A","9.00%-10.00% commission on all goods","16.1","% of Sale"," 10-FEB-19","45","90","N",
"Marks and Spencers - US","http://www.marksandspencer.com/","38710","M&S are one of the UK's leading retailers. We sell stylish, high quality, great value clothing & home products. 
We are renowned for the best quality basics, great value 'sell out' stylish favourites for women and innovative children's and men's clothing","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38710_20131104_110449.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38710&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=313970&type=3&subid=0","Active","Jeannine Martel","International Marketing Manager","London, City of","London","5 Merchant square ","W2 1AS","GB","020 8718 6478","Jeannine-Veronique.Martel@marksandspencer.com","7.00% commission on all goods","13.1","% of Sale","2014"," 01-JAN-16","30","90","N","N/A","7.00% commission on all goods","13.1","% of Sale"," 01-JAN-16","30","90","N",
"Meat Processing Products","http://www.meatprocessingproducts.com/","39804","MeatProcessingProducts.com offers top quality meat processing equipment, including sausage and jerky making supplies, smokers, slicers, grinders and more. You?ll love our selection of top quality meat processing products and big savings.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39804&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=352831&type=3&subid=0","Active","Ahuva Nelkenbaum","Account Manager","New York","Brooklyn","20 Jay Street Suite 305","11201","US","646-290-8127 207","meatprocessingproducts@bluecherrygroup.com","private |5.00% commission on all goods; [private |3.00% commission on selected goods,; private |2.00% commission on selected goods]; ","10.1","% of Sale","2014"," 31-OCT-19","30","90","N","N/A","5.00% commission on all goods; [3.00% commission on selected goods,; 2.00% commission on selected goods]; ","7.5","% of Sale"," 31-OCT-19","30","90","N",
"Medical Supply Depot","http://www.medicalsupplydepot.com/","39107","Medical Supply Depot is a worldwide source for Medical Supplies and everything needed for pain management, respiratory care, skin care, and more.  Affiliates earn 5-7% commissions on a 90 day cookie - Sign up and start promoting this great program today!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39107_316527.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39107&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=316527&type=3&subid=0","Active","Krissy Stonebraker","Affiliate Manager","Texas","Austin","Schaaf-PartnerCentric 327 Congress Suite 300","78701","US","(888) 854-7770","kstonebraker@schaafpc.com","5.00%-7.00% commission on all goods","3.1","% of Sale","2014"," 10-DEC-18","90","90","N","N/A","5.00%-7.00% commission on all goods","3.1","% of Sale"," 10-DEC-18","90","90","N",
"Mens USA.com","http://www.mensusa.com/","38703","We feel responsible to give you the best customer service. If you don't want to pay those silly prices at the malls, just let MensUSA.com take care of you and we promise you will become a regular customer!We strive to provide the best quality.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38703&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=304208&type=3&subid=0","Active","Matt Black","General Manager","California","los angeles","1246 westwood blvd ","90024","US","3104300939","info@suitusa.com","private |$15.00-25.00 flat fee on all goods","4.1","Flat Fee","2014"," 01-SEP-15","10","90","N","N/A","10.00% commission on all goods","5.1","% of Sale"," 30-SEP-16","10","90","N",
"MetalPressions.com","http://www.metalpressions.com/","39087","MetalPressions.com creates fine handmade personalized jewelry for men & women in gold and silver. Exceptional craftsmanship,  a wide selection, great service, & an exclusive online jewelry design tool set MetalPressions apart from the competition.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39087_316479.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39087&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=316479&type=3&subid=0","Active","Andreas Argentinis","AffiliateManager","Georgia","Savannah","542 East 58th St ","31405","US","800-554-8196","affiliate@metalpressions.com","15.00% commission on all goods","3.1","% of Sale","2014"," 31-DEC-18","90","90","N","N/A","15.00% commission on all goods","3.1","% of Sale"," 31-DEC-18","90","90","N",
"MobStub","http://mobstub.com/","39019","Every day, MobStub features unbeatable offers on national brands, retailers and boutiques. By incentivizing sharing we negotiate incredible offers found nowhere else. We call it ?social shopping?!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39019&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=350738&type=3&subid=0","Active","Adam Russo","Affiliate Manager","Utah","Sandy","1631 E 9400 S ","84093","US","385-275-7274","MobStub@mgecom.com","7.00%-10.00% commission on all goods","8.1","% of Sale","2014"," 31-MAY-15","15","90","N","N/A","7.00%-10.00% commission on all goods","8.1","% of Sale"," 31-MAY-15","15","90","N",
"Modells","http://www.modells.com/","38499","Score some great commissions on sporting goods, running gear, and licensed apparel when you join as an affiliate with Modells.com, a top name in athletic equipment and apparel.  Gotta Go To Moe's!!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38499&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=339949&type=3&subid=0","Active","Kent Heltne","VP Sales","Arizona","Scottsdale","13118 N. 145th Way ","85259","US","4806597874","kenth@eaccountable.com","private |4.00% commission on all goods","9.1","% of Sale","2013"," 31-DEC-19","10","90","N","N/A","5.00% commission on all goods","11.1","% of Sale"," 31-DEC-19","10","90","N",
"NOCO Genius","http://www.geniuschargers.com","37083","NOCO Genius designs and creates smart battery chargers that intelligently diagnose, recover, charge and maintain batteries found in cars, boats, motorcycles, ATVs, snowmobiles, RVs, Trucks, Tractors, UTVs and more.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37083&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=271927&type=3&subid=0","Active","Glenn Wilk","Affiliate Manager","Ohio","Glenwillow","30339 Diamond Parkway, #102 ","44139","US","8004566626","affiliates@no.co","private |20.00%-25.00% commission on all goods","4.1","% of Sale","2013"," 01-JAN-17","30","90","N","N/A","20.00%-25.00% commission on all goods","3.1","% of Sale"," 01-JAN-17","30","90","N",
"Naturalizer","http://www.naturalizer.com/","38505","Naturalizer shoes are designed with the best of each season's trend-right looks, details and materials that women will love for social, work, play and every day.  The brand is committed to designing women's shoes to look as beautiful as they feel.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38505_371112.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38505&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=371112&type=3&subid=0","Active","Tessa Szymkiewicz","Affiliate Program Manager","Missouri","St. Louis","8300 Maryland Ave. ","63105","US","916-952-2706","brownshoe@schaafpc.com","8.00% commission on all goods","60.1","% of Sale","2014"," 01-MAY-15","90","90","N","N/A","8.00% commission on all goods","60.1","% of Sale"," 01-MAY-15","90","90","N",
"OWNONLY","www.ownonly.com","39950","OWNONLY is an online retailer for custom tailored suits. We offer various custom suits such as single vest, two-piece (single coat plus pants) and the three-piece (plus two-piece and vest). 
","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39950&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=376339&type=3&subid=0","Active","Brian Zeng","Affiliate Manager","Shanxi","HangZhou","HangZhou minhang","332221","CN","15858194419","brian.zeng@ownonly.com","private |20.00%-25.00% commission on all goods","8.1","% of Sale","2015"," 31-DEC-20","1","90","N","N/A","20.00%-25.00% commission on all goods","7.1","% of Sale"," 31-DEC-20","1","90","N",
"Oasis Fashions Ltd  (US)","http://oasis.andotherbrands.com/?lng=en-US&ctry=US&","39359","British fashion favourite Oasis creates collections with a focus on feminine tailoring, quality cuts & wearable designs. Flattering shapes are brought to life with beautiful detailing & gorgeous prints.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39359&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=334796&type=3&subid=0","Active","","","N",""," ","","","","ashleigh.auckland@oasis-stores.co.uk","7.00% commission on all goods","3.1","% of Sale","2014"," 02-MAY-17","30","90","N","N/A","7.00% commission on all goods","3.1","% of Sale"," 02-MAY-17","30","90","N",
"Official Costumes","http://www.officialcostumes.com/","38716","Thank you for shopping with Official Costumes where you will find only the best quality costumes offered at competitive prices.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38716&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=335526&type=3&subid=0","Active","Troy Barnes","Affiliates Manager","Minnesota","White Bear lake","4875 White Bear Pkwy ","55110","US","6513617405","affiliates@officialcostumes.com","private |5.00%-10.00% commission on all goods","8.1","% of Sale","2013"," 31-DEC-15","10","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 01-JAN-16","10","90","N",
"Old Pueblo Traders","http://oldpueblotraders.com/","38667","Old Pueblo Traders has wide selection of women's clothing. Famous brands plus our own exclusive labels for misses, petites, and women sizes","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38667_301565_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38667&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=301565&type=3&subid=0","Active","Chris Park","Marketing Manager","Arizona","Tucson","7840 East Broadway Blvd. Suite 220","85710","US","520-745-4500","ls-oldpueblotraders@linkshare.com","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale","2014"," 11-MAY-15","10","90","N","N/A","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale"," 11-MAY-15","10","90","N",
"Ole Henriksen","http://www.olehenriksen.com/","38834","THE SECRET?S OUT!

With a cult following of celebrity clients and beauty editors alike, OLEHENRIKSEN skincare products are formulated with nature?s most potent botanical ingredients, allowing every client to experience transformative results.
","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38834_304917_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38834&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=304917&type=3&subid=0","Active","Holly Elliott","Ecommerce/Digital Brand Manager","California","San Francisco","525 Market Street 32nd floor","94105","US","415-284-3300","oleaffiliates@sephora.com","8.00% commission on all goods","2.2","% of Sale","2014"," 24-APR-15","7","90","N","N/A","8.00% commission on all goods","2.2","% of Sale"," 24-APR-15","7","90","N",
"OnlyWire","http://www.onlywire.com","38688","OnlyWire is a fast, secure automation tool to submit content to the top Social Media Networks like Facebook, Twitter and Google+. Use OnlyWire to save time, automate your website's content and engage your followers.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38688_20130717_174313.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38688&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=327182&type=3&subid=0","Active","Ryan Rouland","CMO","California","Aliso Viejo","65 Enterprise ","92656","US","9494364774","ryan@onlywire.com","$10.00 flat fee on all goods","6.1","Flat Fee","2014"," 01-JAN-16","10","90","N","N/A","$10.00 flat fee on all goods","6.1","Flat Fee"," 01-JAN-16","10","90","N",
"Orvis","http://www.orvis.com/","38663","Orvis - Since 1856. Providing distinctive clothing, gear, luggage & home goods inspired by  our Sporting Traditions. America's oldest mail order company offering the best guarantee in the business. 100% Satisfaction Guaranteed.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38663_327192.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38663&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=327192&type=3&subid=0","Active","Arin Shortt","Paid Programs Manager","Vermont","Sunderland","178 Conservation Way ","05250","US","802-362-8516","lsaffiliates@orvis.com","5.00% commission on all goods","29.1","% of Sale","2014"," 31-DEC-15","14","90","N","N/A","5.00% commission on all goods","29.1","% of Sale"," 31-DEC-15","14","90","N",
"Overton's","http://www.overtons.com/","38721","Overton?s provides the highest quality products for all your boating needs. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38721_20130906_192937.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38721&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=315894&type=3&subid=0","Active","Stefanie Berry","Affiliate Marketing","Minnesota","Saint Paul","180 5th St E Ste 1300 ","55101","US","651-325-4000","ls-overtons@linkshare.com","4.00% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale","2014"," 15-APR-15","14","90","N","N/A","4.00% commission on all goods; [0.00% commission on selected goods]; ","28.1","% of Sale"," 18-MAR-16","7","90","N",
